GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
appointment-service,com.demo.spring.controllers,AppointmentRestController,0,105,4,8,0,20,4,6,0,4
appointment-service,com.demo.spring.dto,PatientDTO,0,46,0,0,0,20,0,10,0,10
appointment-service,com.demo.spring.dto,AppointmentDTO,0,52,0,0,0,22,0,11,0,11
appointment-service,com.demo.spring.dto,DoctorDTO,0,46,0,0,0,20,0,10,0,10
appointment-service,com.demo.spring.entity,Appointment,16,42,0,0,8,17,4,7,4,7
appointment-service,com.demo.spring,AppointmentApplication,5,30,0,0,2,4,1,3,1,3
appointment-service,com.demo.spring,ServerConfiguration,7,26,0,0,3,10,2,5,2,5
appointment-service,com.demo.spring.service,AppointmentService,0,68,0,2,0,15,0,5,0,4
appointment-service,com.demo.spring.exceptions,PatientNotFoundException,0,9,0,0,0,2,0,2,0,2
appointment-service,com.demo.spring.exceptions,AppointmentNotFoundException,0,9,0,0,0,2,0,2,0,2
appointment-service,com.demo.spring.exceptions,DoctorNotFoundException,0,9,0,0,0,2,0,2,0,2
appointment-service,com.demo.spring.util,Message,7,9,0,0,4,4,2,2,2,2
