GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clinic-service,com.demo.spring.controllers,DoctorRestController,0,40,0,2,0,10,0,4,0,3
clinic-service,com.demo.spring.controllers,DiagnosticRestController,0,38,0,0,0,8,0,4,0,4
clinic-service,com.demo.spring.controllers,DoctorSpecialityRestController,0,40,0,0,0,8,0,4,0,4
clinic-service,com.demo.spring.controllers,PatientDiagnosticRestController,0,56,2,4,0,10,2,3,0,2
clinic-service,com.demo.spring.dto,DiagnosticDTO,0,26,0,0,0,12,0,6,0,6
clinic-service,com.demo.spring.dto,DoctorDTO,0,46,0,0,0,20,0,10,0,10
clinic-service,com.demo.spring.dto,SpecialityDTO,9,17,0,0,4,8,1,5,1,5
clinic-service,com.demo.spring.dto,PatientDiagnosticDTO,0,45,0,0,0,20,0,9,0,9
clinic-service,com.demo.spring.dto,PatientDTO,0,46,0,0,0,20,0,10,0,10
clinic-service,com.demo.spring.dto,DoctorSpecialityDTO,0,29,0,0,0,13,0,7,0,7
clinic-service,com.demo.spring.entity,DoctorSpeciality,0,45,0,0,0,20,0,9,0,9
clinic-service,com.demo.spring.entity,PatientDiagnostic,0,42,0,0,0,19,0,9,0,9
clinic-service,com.demo.spring.entity,Diagnostic,0,26,0,0,0,12,0,6,0,6
clinic-service,com.demo.spring.entity,Doctor,0,46,0,0,0,20,0,10,0,10
clinic-service,com.demo.spring.entity,Speciality,0,26,0,0,0,12,0,6,0,6
clinic-service,com.demo.spring,ClinicApplication,5,30,0,0,2,4,1,3,1,3
clinic-service,com.demo.spring.service,PatientDiagnosticService,8,40,1,1,2,8,1,2,0,2
clinic-service,com.demo.spring.service,DoctorSpecialityService,0,183,0,16,0,36,0,12,0,4
clinic-service,com.demo.spring.service,DiagnosticService,0,84,0,4,0,18,0,6,0,4
clinic-service,com.demo.spring.service,DoctorService,0,43,0,2,0,10,0,4,0,3
clinic-service,com.demo.spring.exceptions,DoctorSpecialityNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,PatientNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,SpecialityNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,DiagnosticTestExistsException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,DoctorNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.exceptions,DiagnosticNotFoundException,0,9,0,0,0,2,0,2,0,2
clinic-service,com.demo.spring.util,Message,7,9,0,0,4,4,2,2,2,2
clinic-service,com.demo.spring.util,ServerConfiguration,14,19,0,0,6,7,4,3,4,3
